ID,YEAR,MONTH,DAY,HOUR,MINUTE,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY,DAMAGE_TOTAL_DESCRIPTION,HOUSES_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION,URL,COMMENTS
71,859,,,,,36.08,36.25,SAMANDAGI,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/71,"859 (possibly 861), November. Levantian Sea, Near East. A strong earthquake occurred on the coast from Antiochia to Akko. Large rockfalls and landslides. In the region of
Samandagi (some references give Akko), the sea receded and then flooded the coast. (reference #2130)
<P>859, November. Syrian coasts, near Samandag (iii). (reference #15, #20
<P>859, November. Syrian Coasts near Samandag (iii). 
During one of the earthquakes of 245 AH, most probably in
the month of Shaban (1 to 30 November 859 AD), a strong earthquake shook the Syrian coasts from Antiochia to Akka. As-Soyuti says that this earthquake shattered a mountain near Antiochia which fell into the sea together with 1005 houses and 90 villages. El-Macin, Abul-Faragi and Tabar add that the mountain was called Acraus or Rock and that it was closer to Akka rather than to Antiochia. All writers agree that when the mountain collapsed into the sea, the water retired and then returning surged he shores. (reference #24)"
186,1580,1,,,,40,128,YELLOW SEA,NORTH KOREA,"China, North and South Korea, Philippines, Taiwan",Unknown,Very Doubtful Tsunami,,,1,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/186,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1580, January. Validity 1. There was a tsunami in Korea in the province of Kogen. No details are available. No earthquake was noted. May be a distant tsunami or storm surge.
<P><blockquote><i>Reference #79:</i></blockquote> 
<P>1580, January. Korea, Kogendo (E. coast). No details. No quake noted. Distant tsunami or storm surge."
5,-1300,,,,,39.96,26.24,"IONIAN COASTS, TROAD",TURKEY,Mediterranean Sea,Unknown,Questionable Tsunami,6,,5,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/5,"1300 B.C. Ionian and Aegean Seas. References to tsunami along the shore of the Ionian Sea and in Asia Minor. Troy, tsunami intensity V. Event validity 2. (reference #2130)
<P>1300 B.C. Ionian coasts and towns in Asia Minor, Troad,  tsunami intensity v. (references #14, #15, #20)
<P>1300 B.C. Western Turkey, Troy (magnitude =6?), unknown causes. (reference #330)"
174,1556,10,21,,,37,126,YELLOW SEA,SOUTH KOREA,"China, North and South Korea, Philippines, Taiwan",Unknown,Very Doubtful Tsunami,,,0.5,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/174,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1556, October 21?, validity 2. In Korea, waves were observed on the coast of the Yellow Sea in the provinces of Kyonggi and Ch'ungch'ong, in the regions of Ansa and Isan. There are no detailed data; there was no earthquake. According to Imamura, these were storm waves. <P><blockquote><i>Reference #150:</i></blockquote> 
<P>1556, October 21, validity 1. Seikidon, Isan, Anson and Keikido (W. Coast), Korea tsunami. Probably storm surge. 
<P><blockquote><i>Reference #79:</i></blockquote> 
<P>1556, October 21. Source area Japan Sea or Yellow sea, tsunami observation Seikidon, Isan, Anson, and Keikido, Korea (west coast)."
427,1747,3,,,,33.1,139.8,"IZU PENINSULA, HACHIJO ISLAND",JAPAN,Japan,Unknown,Questionable Tsunami,,,0.5,Limited (<$1 million),,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/427,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1747, March?. There were waves on the coast of the Izu Peninsula and Hachijo Island. Fishing boats were sunk or washed away on the coast of the Ogago region (Hachijo Island). No earthquake is reported. This was a tsunami from a remote source or of storm origin. 
<P><blockquote><i>Reference #150:</i></blockquote> 
<P>1747. Hachijo island, validity 2, magnitude 1. Fishing boats washed away at Ogago [Hachijo Island]. No earthquake description. 
<P><blockquote><i>Reference #79:</i></blockquote> 
<P>1747, March. Tsunami magnitude 0. Unknown source. Japan, Izu Island, Hachijo."
368,1704,,,,,33.6,136,"TAIJI, KII",JAPAN,Japan,Unknown,Questionable Tsunami,,,1,Limited (<$1 million),Few (~1 to 50 houses),,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/368,"There was a tsunami on the south of Kii Peninsula, in the vicinity of Nachikatsu'ura. Thirty homes were washed away at Miwasaki and Taiji. However, nowhere is an earthquake mentioned. It was perhaps a tsunami of remote origin. (Reference #414)"
81,975,10,26,,,41.04,28.98,"MARMARA SEA, STRAIT OF BOSPORUS",TURKEY,Mediterranean Sea,Unknown,Questionable Tsunami,,,3,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/81,
269,1650,9,29,,,36.404,25.396,THERA ISLAND (SANTORINI),GREECE,Mediterranean Sea,Volcano and Landslide,Definite Tsunami,6.3,,6,,,Many (~101 to 1000 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/269,"""At the end of 1650 a submarine outbreak occurred in the Aegean Archipelagos. At a point about 4 miles to the northeast of the Island of Thera (Santorini) a volcanic eruption gave rise to a shoal, as a result of which huge waves broke upon the shores of many islands in the Aegean. ""The eruption lasted 3 months and it was preceded and followed by severe earthquakes.
<P>On September 14, prior to the eruption and appearance of the shoal, strong earthquakes shook the island of Thera which intermittently continued until the day of the paroxysm on the 29th of the same month at which the shoal emerged. From contemporary accounts we learn that during the period between 14th and 29th of September the sea around the island was much agitated. Big waves were rushing inland from time to time while great rock slices fell into the sea. On the 29th of September, when the shaol made its appearance, a huge wave devastated the island, in many places where the shores were flat invaded the coast for two miles. On the west coast of the island of Patmos the wave reached heights over 100 feet while on the east coast the sea rose to 90 feet. On the island of Ios the height of the wave was 60 feet and on the island of Sikinos the sea advanced over 300 yards inland. On the island of Kea sailing ships were carried into the interior and many vessels were cast on the shores of Crete."" (above from Reference #27)<P><center><table>
<tr><td><br><b><center><h2>Different Reports of Tsunami Source Data</h2></b><hr>
<Table cellpadding=""4"" cellspacing=""2""><tr><td><b>Date</b></td><td><b>Location</b></td><td>
<B>Latitude</B></td><td><B>Longitude</b></td><td><B>Reference</B></td></tr>
<tr><td>September 29, 1650<td>Santorini (Thera)</td><td></td><td></td><td>14</td></tr>
<tr><td>October 9, 1650<td>Santorini (Thera)</td><td></td><td></td><td>15</td></tr>
</td></tr>
<tr><td>October 9, 1650<td>Santorini (Thera)</td><td>36.5N</td><td>25.5E</td><td>20</td></tr>

<tr><td>September 29, 1650<td>Santorini (Thera)</td><td>36.5N</td><td>25.5E</td><td>27</td></tr>
<tr><td>September 29, 1650<td>Santorini (Thera)</td><td>36.5N</td><td>25.5E</td><td>109</td></tr>
<tr><td>September 29, 1650<td>6.5 km NE of NE<br>coast of Santorini</td><td></td><td></td><td>330</td></tr>
<tr><td>September 29, 1650<td>Santorini (Thera)</td><td>36.4N</td><td>25.4E</td><td>333</td></tr>
<tr><td>1650<td>Santorini (Thera)</td><td>36.4N</td><td>25.4E</td><td>416</td></tr>
</td></tr>
<tr><td>October 10, 1650<td>South Aegean Sea</td><td>36.5N</td><td>25.5E</td><td>2427</td></tr>
</table></table></center>

A strong underground volcanic eruption occurred 4km north-east of Thira Island (volcano of Santorini), as a result of which the sand-bank of Kolumbos was originated. It was preceded and accompanied by strong underground shocks, which caused the collapse of over 200 houses (reference #2130)."
62,792,4,30,,,45.5,11,GULF OF VENICE,ITALY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,3,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/62,"792 (possibly 793), April 30. Adriatic Sea, Gulf of Venice. A strong earthquake enveloped the gulf and the north-eastern shore of the Adriatic Sea - in Istria and Dalmatia. From other data, a huge sea wave following a disastrous earthquake in the regions of Friuli and Istria, came upon the coast and devastated it; the shore of the Gulf of Venice was flooded.
<P>During the earthquake, the sky in the direction from Dalmatia to Istria assumed a bright flame - like red color, long flame - colored stripes appeared. The sea overflowed its shores, with the result that buildings were destroyed and lives were lost.
<P>In the catalogue by Caputo and Faita [1984] a supposition was made that the tsunami was caused by the April 30,793 (or 792) earthquake with its epicentre
at 45.5N, llE, i.e. located near Verona, and with a maximum intensity I=IX. In the papers by Radics [1902] and Guidoboni and Tinti [1989] it is demonstrated that this earthquake is extremely questionable and, apparently, it
was introduced into the literature by one of the medieval chroniclers in 1596 to explain why the city walls collapsed in Verona. In the paper, a proposal was made that the tsunami was possibly caused by the February, 792 earthquake
with a maximum intensity I = VIII, mentioned in the catalogue of Slovenian earthquakes [Ribaric, 1982]; however these data are also not very reliable [Von Valvasor, 1689; Radics, 1902; Ambraseys, 1962; Ann. Bibl., 1964, Nos. 1284,
1679; Caputo and Faita, 1984].
<P>(above from reference #2130)."
319,1676,,,,,38.733,-27.066,AZORES,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,1,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/319,"Berninghausen (Reference #41) states: ""A tsunami destroyed a convent of nuns at Praia da Vitoria, Ilha Terceira. The site of this convent is now below the waters of the Baia Praia, as a result of the progressive settling of this part of the coast."" No specific month/day is given."
